"filename", "language", "Python", "Properties", "Batch", "PowerShell", "HTML", "JavaScript", "XML", "CSS", "Markdown", "C", "comment", "blank", "total"
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\__init__.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 169
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\_exceptions.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 92
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\_mysql.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2586, 94, 238, 2918
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\connections.py", "Python", 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62, 340
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\constants\CLIENT.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\constants\CR.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 106
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\constants\ER.py", "Python", 822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 828
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\constants\FIELD_TYPE.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 41
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\constants\FLAG.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\constants\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\converters.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35, 140
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\cursors.py", "Python", 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 96, 501
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\release.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\take\Desktop\venv\Lib\site-packages\MySQLdb\times.py", "Python", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 151
"c:\Users\take\Desktop\venv\Lib\site-packages\_distutils_hack\__init__.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33, 129
"c:\Users\take\Desktop\venv\Lib\site-packages\_distutils_hack\override.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\take\Desktop\venv\Lib\site-packages\asgiref\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\take\Desktop\venv\Lib\site-packages\asgiref\compatibility.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 49
"c:\Users\take\Desktop\venv\Lib\site-packages\asgiref\current_thread_executor.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 116
"c:\Users\take\Desktop\venv\Lib\site-packages\asgiref\local.py", "Python", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 121
"c:\Users\take\Desktop\venv\Lib\site-packages\asgiref\server.py", "Python", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 158
"c:\Users\take\Desktop\venv\Lib\site-packages\asgiref\sync.py", "Python", 487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 86, 646
"c:\Users\take\Desktop\venv\Lib\site-packages\asgiref\testing.py", "Python", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 98
"c:\Users\take\Desktop\venv\Lib\site-packages\asgiref\timeout.py", "Python", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 119
"c:\Users\take\Desktop\venv\Lib\site-packages\asgiref\typing.py", "Python", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 275
"c:\Users\take\Desktop\venv\Lib\site-packages\asgiref\wsgi.py", "Python", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 163
"c:\Users\take\Desktop\venv\Lib\site-packages\backports\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\take\Desktop\venv\Lib\site-packages\backports\zoneinfo\__init__.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 50
"c:\Users\take\Desktop\venv\Lib\site-packages\backports\zoneinfo\__init__.pyi", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 46
"c:\Users\take\Desktop\venv\Lib\site-packages\backports\zoneinfo\_common.py", "Python", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 33, 172
"c:\Users\take\Desktop\venv\Lib\site-packages\backports\zoneinfo\_tzpath.py", "Python", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 55, 208
"c:\Users\take\Desktop\venv\Lib\site-packages\backports\zoneinfo\_version.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\take\Desktop\venv\Lib\site-packages\backports\zoneinfo\_zoneinfo.py", "Python", 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 151, 755
"c:\Users\take\Desktop\venv\Lib\site-packages\django\__init__.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\take\Desktop\venv\Lib\site-packages\django\__main__.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\take\Desktop\venv\Lib\site-packages\django\apps\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\take\Desktop\venv\Lib\site-packages\django\apps\config.py", "Python", 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 36, 275
"c:\Users\take\Desktop\venv\Lib\site-packages\django\apps\registry.py", "Python", 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 80, 437
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\__init__.py", "Python", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 61, 404
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\global_settings.py", "Python", 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257, 122, 682
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\__init__.py", "Python", 621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 624
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ar\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
